Nombre del Centro;Num de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
CONSULTORIO DE ATENCION PRIMARIA DE HERRERA DE VALDECAÑAS;34-C232-0090;PZ. DE ABILIO CALDERON 6;34,259;HERRERA DE VALDECAÑAS;PALENCIA;979,050,214;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HERRERA DE VALDECAÑAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA MEDICA JAVIER CORTES;37-C24-0005;AV. DE CAMPOAMOR, 24;37,003;SALAMANCA;SALAMANCA;923,237,273;923,237,273;CENTROS POLIVALENTES;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA#ENDOCRINOLOGIA #ENFERMERIA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#NUTRICION Y DIETETICA#OBTENCION DE MUESTRAS#OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) #PODOLOGIA#VACUNACION;CLINICA MEDICA JAVIER CORTES S.L.;PRIVADOS
CENTRO DE SALUD DE ARMUNIA;24-C231-0001;CL. SAN JUAN BOSCO 0;24,009;LEON;LEON;987,256,200;987,206,788;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#ODONTOLOGIA / ESTOMATOLOGIA#PEDIATRIA#URGENCIAS;GERENCIA REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DENTAL RUBIO;37-C251-0226;CL. WENCES MORENO, 1;37,300;PEÑARANDA DE BRACAMONTE;SALAMANCA;923,541,367;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA RUBIO S.L.;PRIVADOS
CLINICA RADIOLOGICA NOVOTECNICA-2;47-C256-0005;CL. PAULINA HARRIET 4;47,000;VALLADOLID;VALLADOLID;983,333,833;983,333,833;ESPECIALIZADOS: CENTROS DE DIAGNOSTICO;RADIODIAGNOSTICO;NOVOTECNICA 2, S.L.U;PRIVADOS
FISIOTEC;37-C22-0461;CL. ERAS, 9;37,005;SALAMANCA;SALAMANCA;661,197,505;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;COLLADO VICENTE , RAQUEL;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE TALA (LA);37-C232-0155;PZ. MAYOR, 0;37,752;TALA (LA);SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE TALA (LA);SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE BERCIMUEL;40-C232-0031;PZ. MAYOR 1;40,550;BERCIMUEL;SEGOVIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE BERCIMUEL;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE ALDEASOÑA;40-C232-0011;CL. REAL 22;40,235;ALDEASOÑA;SEGOVIA;921,164,113;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE ALDEASOÑA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DE REHABILITACION SAN JUAN;47-C2590-0023;CL. VERBENA 5;47,002;VALLADOLID;VALLADOLID;983,301,104;983,208,689;OTROS CENTROS ESPECIALIZADOS;FISIOTERAPIA#NEUROFISIOLOGIA #REHABILITACION;CLINICA DE REHABILITACION SAN JUAN S.L.;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE VILLANUEVA DE ABAJO;34-C232-0274;PZ. MAYOR SN;34,878;VILLANUEVA DE ABAJO;PALENCIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE CONGOSTO DE VALDAVIA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE CABEZUELA DE SALVATIERRA;37-C232-0067;CL. ACIRA, 0;37,795;CABEZUELA DE SALVATIERRA;SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GUIJUELO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
FISIOCENTRO SALAMANCA;37-C22-0206;AV. DE COMUNEROS, 83;37,003;SALAMANCA;SALAMANCA;923,180,386;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISIOCENTRO SALAMANCA C.B.;PRIVADOS
SECCION DE OPTICA EN OFICINA DE FARMACIA DE BUENAVISTA DE VALDAVIA;34-E3-0007;CL. ANSELMO POLANCO 10;34,470;BUENAVISTA DE VALDAVIA;PALENCIA;979,895,047;0;ESTABLECIMIENTO DE OPTICA;ESTABLECIMIENTO DE OPTICA;BALBAS MUÑOZ , RUT;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE CASTRILLO DE SEPULVEDA;40-C232-0051;CL. TALANQUERA 33;40,317;CASTRILLO DE SEPULVEDA;SEGOVIA;921,540,000;921,540,810;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SEPULVEDA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
SERVICIOS SANITARIOS DEL CENTRO PENITENCIARIO DE SEGOVIA;40-C3-0039;CR. N-110 KM. 196 CAMINO PEROGORDO;40,154;TORREDONDO;SEGOVIA;921,414,900;921,414,925;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;ATENCION SANITARIA A DROGODEPENDIENTES#DEPOSITO DE MEDICAMENTOS#ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#ODONTOLOGIA / ESTOMATOLOGIA#PSIQUIATRIA#URGENCIAS#VACUNACION;MINISTERIO DEL INTERIOR;OTRAS ENTIDADES/ORGANISMOS PUBLIC. DEP. ESTATAL
CLINICA DENTAL DENTIX VALLADOLID (PLAZA ESPAÑA);47-C251-0251;PZ. ESPAÑA 8;47,001;VALLADOLID;VALLADOLID;983,214,476;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTOESTETIC CENTRO DE SALUD Y ESTETICA DENTAL SL;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE GUIJO DE AVILA;37-C232-0350;PZ. DEL GENERALISIMO, 1;37,774;GUIJO DE AVILA;SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GUIJO DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CENTRO RECOLETOS 8;47-C24-0079;CL. ACERA DE RECOLETOS 8;47,004;VALLADOLID;VALLADOLID;983,136,210;983,119,124;CENTROS POLIVALENTES;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA#ENFERMERIA#FISIOTERAPIA#NUTRICION Y DIETETICA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#PEDIATRIA#PODOLOGIA;SOPRACO SALUD SL;PRIVADOS
RESONANCIA ABIERTA CLINICA SALUD 2001;34-C256-0011;AV. CASTILLA 5-7;34,005;PALENCIA;PALENCIA;979,100,229;979,101,087;ESPECIALIZADOS: CENTROS DE DIAGNOSTICO;RADIODIAGNOSTICO;RESONANCIA ABIERTA CLINICA SALUD  S.L.;PRIVADOS
SERVICIOS SANITARIOS DE LA RESIDENCIA DE LA 3 EDAD VIRGEN DE LA GUIA;09-C3-0193;CL. LA FUENTE 14;9,670;QUINTANAR DE LA SIERRA;BURGOS;947,396,178;947,396,178;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#ENFERMERIA#FISIOTERAPIA#TERAPIA OCUPACIONAL;FUNDACION  EDAD VIRGEN DE LA GUIA;MUNICIPIO
CENTRO DE SALUD LA PALOMERA;24-C231-0038;AV. SAN JUAN DE SAHAGUN 0;24,007;LEON;LEON;987,235,140;987,236,459;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#CIRUGIA MENOR AMBULATORIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#ODONTOLOGIA / ESTOMATOLOGIA#PEDIATRIA#PSICOLOGIA CLINICA#PSIQUIATRIA#URGENCIAS;GERENCIA REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE ALDEHUELAS DE SEPULVEDA;40-C232-0014;CL. REAL 9;40,317;ALDEHUELAS DE SEPULVEDA;SEGOVIA;921,540,000;921,540,810;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SEPULVEDA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
SECCION DE ORTOPEDIA FARMACIA VIRSEDA-SANZ;47-E-0171;CL. RONDA  55;47,420;ISCAR;VALLADOLID;983,620,241;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE ORTOPEDIA;FARMACIA M. VIRSEDA S.C.P.;PRIVADOS
GABINETE DE FISIOTERAPIA DE D DANIELE C. BOURIE Y DE D. SATURNINO CID SECO;40-C22-0043;PS. EZEQUIEL GONZALEZ 24  B;40,002;SEGOVIA;SEGOVIA;921,442,777;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BOURIE , DANIELE CHRISTINE#CID SECO , SATURNINO;PRIVADOS
CENTRO DE SALUD EL CRUCERO;24-C231-0007;CL. CARDENAL CISNEROS 22;24,009;LEON;LEON;987,234,103;987,223,746;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#PEDIATRIA;GERENCIA REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CENTRO DERMATOLOGICO Y ESTETICO DE D. EDUARDO LOPEZ DE AYALA;09-C21-0197;AV. DEL ARLANZON  (VILLA PILAR, N. 3) 33;9,004;BURGOS;BURGOS;947,653,118;0;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#DERMATOLOGIA;LOPEZ DE AYALA CASADO , EDUARDO;PRIVADOS
EL88;05-C22-0133;CL. DON JESUS JIMENEZ S/N;5,003;AVILA;AVILA;920,100,000;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES;WOODY EVENTS S.L.;PRIVADOS
CENTRO MEDICO ASISTENCIAL I;42-C24-0002;AV. MARIANO VICEN, 6 BAJO;42,003;SORIA;SORIA;975,239,779;975,224,227;CENTROS POLIVALENTES;ATENCION SANITARIA DOMICILIARIA#CIRUGIA GENERAL Y DIGESTIVO#ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#OBTENCION DE MUESTRAS#OFTALMOLOGIA#OTORRINOLARINGOLOGIA#RADIODIAGNOSTICO;CENTROS E INSTAL. ASISTENCIALES DE ASISA S.A.;PRIVADOS
SERVICIOS SANITARIOS DEL CENTRO DE DISMINUIDOS PSIQUICOS N S DEL VALLE;24-C3-0040;CR. NOGAREJAS S/N;24,750;BAÑEZA (LA);LEON;987,644,006;987,643,175;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#ENFERMERIA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#TERAPIA OCUPACIONAL;DIPUTACION PROVINCIAL DE LEON;DIPUTACION O CABILDO
CONSULTORIO DE ATENCION PRIMARIA DE SAN AGUSTIN DEL POZO;49-C232-0324;CL. NUEVA S/N;49,135;SAN AGUSTIN DEL POZO;ZAMORA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SAN AGUSTIN DEL POZO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DENTAL DE D. RAFAEL MARIN PEREZ;05-C251-0029;CL. SAN JUAN DE LA CRUZ 1  2;5,001;AVILA;AVILA;920,226,678;920,226,678;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;RAFAEL MARIN CB;PRIVADOS
CLINICA DENTAL DE D. MANUEL A. FERNANDEZ RATERO;37-C251-0094;CL. ALAMEDILLA, 18  A;37,003;SALAMANCA;SALAMANCA;923,263,862;923,263,862;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;FERNANDEZ RATERO , MANUEL ANGEL;PRIVADOS
FISIOFYR;49-C22-0161;CL. JUAN II 5;49,011;ZAMORA;ZAMORA;682,078,113;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ROMAN RABANO , SARA;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE CONSUEGRA DE MURERA;40-C232-0070;CL. REAL 29;40,389;CONSUEGRA DE MURERA;SEGOVIA;921,540,000;921,540,810;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SEPULVEDA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE CASTROPEPE;49-C232-0069;CL. LA IGLESIA S/N;49,660;CASTROPEPE;ZAMORA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VILLANUEVA DE AZOAGUE;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
FISIOTERAPIA ASOCIACION DE VECINOS VALLE DE VALDELUCIO;09-C22-0252;CM. ERAS 5;9,127;QUINTANAS DE VALDELUCIO;BURGOS;644,953,178;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ASOCIACION VECINOS VALLE DE VALDELUCIO;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE SORRIBOS DE ALBA;24-C232-0669;CR. LA MAGDALENA 72;24,649;SORRIBOS DE ALBA;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DEL ROBLA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
SERVICIOS SANITARIOS DE LA RESIDENCIA DE PERSONAS MAYORES EL ALMENDRO;49-C3-0035;CR. TIEDRA 7;49,835;POZOANTIGUO;ZAMORA;980,696,468;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS;CASTRO VELEZ , ESTHER;PRIVADOS
OPTICA ISCAR;47-E-0092;CL. ERAS 10;47,420;ISCAR;VALLADOLID;983,620,262;893,620,262;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;OPTICA ISCAR AUDIFONOS;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE VILLALBA DE GUARDO;34-C232-0244;CL. CALZADA;34,889;VILLALBA DE GUARDO;PALENCIA;979,862,153;979,862,025;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VILLALBA DE GUARDO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
UNIDAD DE MEDICINA DEL TRABAJO  GALI PREVENCION. CARBONERO EL MAYOR;40-C3-0081;CL. PINARES 1;40,270;CARBONERO EL MAYOR;SEGOVIA;616,126,410;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;MEDICINA DEL TRABAJO;GALI PREVENCION, S.L.;PRIVADOS
TOMA IMPULSO;24-C22-0356;CL. JUAN PABLO II 13-15 LOC.3;24,005;LEON;LEON;645,050,044;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA#LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#TERAPIA OCUPACIONAL;RODRIGUEZ UGIDOS , RUTH;PRIVADOS
UNIDAD DE REHABILITACION PSIQUIATRICA NUESTRA SEÑORA DE LA FUENCISLA;40-C14-0001;CR. DE LA GRANJA 7;40,194;PALAZUELOS DE ERESMA;SEGOVIA;921,421,800;921,420,080;HOSPITALES DE SALUD MENTAL Y TRATAMIENTO DE TOXICOMANIAS;ENFERMERIA#FARMACIA#FISIOTERAPIA#OBTENCION DE MUESTRAS#OTRAS UNIDADES ASISTENCIALES#PSIQUIATRIA#TERAPIA OCUPACIONAL;DIPUTACION PROVINCIAL DE SEGOVIA;DIPUTACION O CABILDO
CONSULTA DE CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA D. JUAN M. GUTIERREZ CARRERA;47-C21-0404;PS. JUAN CARLOS I (CENTRO HOSPITALARIO BENITO MENNI) 10;47,008;VALLADOLID;VALLADOLID;617,569,126;0;CONSULTAS MEDICAS;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA;GUTIERREZ CARRERA , JUAN MANUEL;PRIVADOS
UNIDAD DE MEDICINA DEL TRABAJO DEL S.P. INTEGRAL LEON EN MEDINA DEL CAMPO;47-C3-0157;AV. LOPE DE VEGA CENTRO MEDICO MEDINA 37;47,400;MEDINA DEL CAMPO;VALLADOLID;983,263,713;983,263,722;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;MEDICINA DEL TRABAJO;SERVICIO DE PREVENCION INTEGRAL LEON S.A.;PRIVADOS
CLINICA DENTAL LERMA;09-C251-0123;PS. DE LOS MESONES (ENTREPL. A-B) 5;9,340;LERMA;BURGOS;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GARCIA ALBERDI , MAXIMINO;PRIVADOS
AUDIOSA;37-C22-0473;PZ. DEL BARRIO VIDAL, 13;37,006;SALAMANCA;SALAMANCA;923,124,042;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA#PODOLOGIA;HERRERO BENITO , MANUEL;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE NAVA DE BEJAR;37-C232-0281;LA. DEL AYUNTAMIENTO, 0;37,776;NAVA DE BEJAR;SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE NAVA DE BEJAR;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE ARENAL EL;40-C232-0022;CL. REAL 6;40,176;ARENAL (EL);SEGOVIA;921,533,720;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE OREJANA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
LABORATORIOS DE CASTILLA Y LEON SIGLO XXI;47-C256-0018;CL. FIDEL RECIO H. SGDO. CORAZON 1;47,002;VALLADOLID;VALLADOLID;0;983,290,751;ESPECIALIZADOS: CENTROS DE DIAGNOSTICO;ANALISIS CLINICOS#OBTENCION DE MUESTRAS;LABORATORIOS DE CASTILLA Y LEON S.L.;PRIVADOS
CONSULTA DE CARDIOLOGIA DE D. JORGE ORIA VIDAL;37-C21-0158;CL. ARCO 7-9  B;37,002;SALAMANCA;SALAMANCA;923,218,870;923,218,870;CONSULTAS MEDICAS;CARDIOLOGIA;ORIA VIDAL , JORGE;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE SAUQUILLO DE CABEZAS;40-C232-0245;CM. DEL ARROYO 2;40,351;SAUQUILLO DE CABEZAS;SEGOVIA;921,509,635;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SAUQUILLO DE CABEZAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
SERVICIOS SANITARIOS DE LA RESIDENCIA PARA MAYORES PARQUESOL;47-C3-0002;CL. AMADEO ARIAS 2;47,014;VALLADOLID;VALLADOLID;983,372,693;983,372,028;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#ENFERMERIA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#TERAPIA OCUPACIONAL;GERENCIA DE SERVICIOS SOCIALES;OTRAS ENTIDADES/ORGANISMOS PUBLIC.DEP.AUTONOMICA
FISIOCONDE FISIOTERAPIA Y PODOLOGIA;24-C22-0134;PZ. CONDE LUNA 9;24,007;LEON;LEON;987,086,378;987,086,378;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA#PODOLOGIA;SIMON FERNANDEZ , ROBERTO;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE NAVAS DE ORO;40-C232-0220;CL. DR. MARIANO GARCIA MUÑOZ 10;40,470;NAVAS DE ORO;SEGOVIA;687,504,485;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE NAVAS DE ORO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE REQUEJO;24-C232-0553;CL. SAN JOSE 0;24,368;REQUEJO;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VILLAGATON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DENTAL VITALDENT;47-C251-0246;CL. SANTA CLARA 6-8-10;47,011;VALLADOLID;VALLADOLID;983,320,021;983,253,653;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MAREN ODONTOLOGICA SLU;PRIVADOS
CENTRO DE FISIOTERAPIA THERMA;37-C22-0209;CL. ROMERO 2  A;37,005;SALAMANCA;SALAMANCA;923,236,155;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CENTRO DE FISIOTERAPIA THERMA S.L.;PRIVADOS
CLINICA DEL LENGUAJE DE D. JULIAN VIRUETE ESTRADA;47-C22-0104;PZ. DE LA UNIVERSIDAD N 7 LOCAL 8 PASAJE;47,003;VALLADOLID;VALLADOLID;983,308,322;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA;VIRUETE ESTRADA , JULIAN;PRIVADOS
CLINICA UROLOGICA DE D. MANUEL HERRERO;37-C21-0229;PS. DR. TORRES VILLARROEL, 10  A;37,005;SALAMANCA;SALAMANCA;923,226,398;923,226,398;CONSULTAS MEDICAS;RADIODIAGNOSTICO#UROLOGIA;CLINICA UROLOGICA DR. MANUEL HERRERO, S.L.P.;PRIVADOS
UNIDAD DE MEDICINA DEL TRABAJO DE QUIRON PREVENCION EN QUESERIAS ENTREPIN;47-C3-0178;AV. DE SANTANDER (EN QUESERIAS ENTREPINARES) 140;47,011;VALLADOLID;VALLADOLID;983,361,258;983,373,732;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;MEDICINA DEL TRABAJO;QUIRON PREVENCION S.L.U.;PRIVADOS
CLINICA QUIROMEDIC MEDINA;47-C24-0030;AV. LOPE DE VEGA 27;47,400;MEDINA DEL CAMPO;VALLADOLID;983,810,367;983,837,332;CENTROS POLIVALENTES;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA#ENFERMERIA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#PSICOLOGIA CLINICA#PSIQUIATRIA#VACUNACION;QUIROMEDIC CARE AND CONSULTING S.L.;PRIVADOS
CONSULTORIO LOCAL DE ARROYO DE CUELLAR;40-C232-0025;CR. DE AREVALO 8;40,215;ARROYO DE CUELLAR;SEGOVIA;921,155,126;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;ENTIDAD LOCAL MENOR DE ARROYO DE CUELLAR;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE VALDESIMONTE;40-C232-0204;PZ. EGIDOS 15;40,389;VALDESIMONTE;SEGOVIA;921,520,001;921,520,678;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;ENTIDAD LOCAL MENOR DE VALDESIMONTE;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTA DE NEUROLOGIA DE D. JESUS ARCAYA NAVARRO;37-C21-0264;RD. DEL CORPUS, 33;37,002;SALAMANCA;SALAMANCA;923,266,364;0;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#NEUROLOGIA;GRUPO MEDITOX S.L.P.;PRIVADOS
CLINICA MENDELL;47-C24-0036;CL. MIGUEL ISCAR 3;47,001;VALLADOLID;VALLADOLID;983,375,029;983,375,029;CENTROS POLIVALENTES;FISIOTERAPIA#MEDICINA ESTETICA#MEDICINA GENERAL /  DE FAMILIA#NUTRICION Y DIETETICA#PODOLOGIA#TERAPIAS NO CONVENCIONALES;CLINICA MENDELL S.L.;PRIVADOS
CENTRO DE SALUD DE MATALLANA DE TORIO;24-C231-0012;CL. LA ESTACION 0;24,830;MATALLANA DE TORIO;LEON;987,578,275;987,578,275;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#PEDIATRIA#URGENCIAS;GERENCIA REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE ROBLEDO DE LA VALDONCINA;24-C232-0565;PZ. PADRE DIMAS, 1 0;24,391;ROBLEDO DE LA VALDONCINA;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VALVERDE DE LA VIRGEN;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
